Requests	50	100	150	200	250	300
0.283	0.332	1.361	0.691	0.843	1.183
0.043	0.042	0.048	0.044	0.047	0.817
0.042	0.052	0.054	0.051	0.055	0.059
0.058	0.049	0.055	0.054	0.059	0.057
0.055	0.065	0.053	0.057	0.063	0.056
0.178	0.092	0.057	0.055	0.056	0.058
