Requests	50	100	150	200	250	300
1	0.172	0.301	0.400	0.519	0.593	0.732
10	0.339	0.660	1.195	1.734	2.064	2.438
20	0.336	0.685	1.233	1.573	2.101	2.452
30	0.406	0.682	1.220	1.429	2.101	2.448
40	0.434	0.672	1.222	0.872	0.870	2.098
50	0.387	0.683	1.230	1.544	2.109	2.460
