Requests	50	100	150	200	250	300
1	3.097	3.063	3.135	3.122	3.146	3.148
10	3.017	3.030	3.180	3.157	3.285	3.293
20	3.114	3.045	3.285	3.107	3.131	3.231
30	3.029	3.156	3.124	3.251	3.218	3.253
40	3.012	3.091	3.051	3.113	3.269	3.169
50	3.072	3.113	3.141	3.192	3.251	3.253
