Requests	50	100	150	200	250	300
1	0.108	0.365	0.542	0.911	1.075	1.227
10	0.058	0.056	0.056	0.054	0.057	0.056
20	0.069	0.064	0.063	0.064	0.065	0.063
30	0.065	0.070	0.062	0.066	0.064	0.066
40	0.068	0.064	0.067	0.066	0.069	0.068
50	0.416	0.065	0.062	0.064	0.069	0.069
