Requests	50	100	150	200	250	300
1	15.080	26.760	37.210	46.680	51.930	58.270
10	15.040	27.320	38.380	46.720	52.350	3.280
20	14.700	27.610	39.510	46.390	55.970	57.200
30	14.840	26.740	36.040	42.260	49.090	3.300
40	14.400	24.220	35.520	40.370	48.310	49.420
50	13.870	24.900	33.470	37.990	43.000	3.300
